;accountName;saleDate;totaltransactions;avgprice;lastprice;differentip;lifespan;number_of_week;weekend;lastmethod;country;orderfreq;return
0;fcbdff7c49417e14c88bed5a645e;2010;9;13.3333333333;10.0;2;94;6;1;40;30;10.4444444444;0
1;fe1064c0222019a268a139b27227;2010;49;10.1020408163;10.0;5;628;1;0;40;30;12.8163265306;0
2;240ab3e1e4ee765b5c4d7ce5d76f;2010;37;10.6756756757;10.0;1;1184;4;0;40;50;32.0;1
4;712f03b27a6ba13eb3855aa3341c;2010;2;10.0;10.0;2;73;6;1;40;50;36.5;0
5;d19928db989ae7346267d23b913b;2010;4;12.5;10.0;3;7;3;0;40;50;1.75;0
6;bfa42cd2992054ab7fbeef0a34e1;2010;16;10.625;10.0;10;480;1;0;40;50;30.0;0
8;d7bc94d82419948c8f570524dd1a;2010;80;9.4125;10.0;55;475;3;0;40;50;5.9375;0
11;a07bdf4427e1954121c36ef924c3;2010;43;11.4651162791;10.0;14;609;3;0;10;32;14.1627906977;0
12;9bd7ba8c0f26f1480227c8e21b71;2010;8;10.0;10.0;3;215;2;0;40;50;26.875;0
13;2e89bbc36a22ca23579d57b2f4d7;2010;20;11.25;10.0;4;538;3;0;40;50;26.9;0
14;370317a5ad73f7a17a53a1e14458;2010;1;10.0;10.0;1;1;4;0;30;90;1.0;0
15;8048cf97ac88f0dd788c541d04de;2010;46;10.9782608696;10.0;12;1272;2;0;40;50;27.652173913;0
16;46b3ec5d314baed6d9a950a63523;2010;3;18.3333333333;20.0;2;13;3;0;30;90;4.33333333333;0
17;5aea4398fd10f3e55bb2333800b5;2010;72;11.1111111111;10.0;65;511;4;0;40;32;7.09722222222;0
18;5830754b4a64752b057503d3ddac;2010;15;7.0;10.0;3;464;6;1;40;32;30.9333333333;0
20;1b99b0e135788032997f66371346;2010;4;20.0;10.0;2;64;5;1;40;30;16.0;0
21;89919e255610c3b7725b73ca09f6;2010;9;35.0;30.0;3;367;0;0;30;90;40.7777777778;0
22;629b7d30a36c472c7afdb3c71da5;2010;37;10.6756756757;10.0;35;828;6;1;40;1;22.3783783784;0
23;78e4b8296f1e444abeea785a5beb;2010;1;20.0;20.0;1;1;5;1;30;90;1.0;0
24;c1549bc9779e36c8da507a4159b0;2010;1;5.0;5.0;1;1;5;1;30;90;1.0;0
27;34ae8912ed996f08e4eaea6fce27;2010;19;9.73684210526;10.0;2;1125;2;0;30;90;59.2105263158;0
29;4aecd175009b3f9f4f244d03d490;2010;3;10.0;10.0;2;56;5;1;40;50;18.6666666667;0
32;99c0c71071fd848046e8c7aa6a0b;2010;21;10.0;10.0;18;800;6;1;40;50;38.0952380952;0
33;6e9fbc125fe71bbeb8ad33f97227;2010;1;10.0;10.0;1;1;5;1;40;50;1.0;0
34;d12350f0ca058bcc3ee952a84893;2010;7;8.42857142857;2.0;3;82;2;0;40;32;11.7142857143;0
36;a611915eb42e6f36c5e0789ce480;2010;24;11.9583333333;10.0;19;281;5;1;40;50;11.7083333333;0
38;3d1aae7c18e6bc606e41f6dd3ea2;2010;7;12.1428571429;10.0;6;496;4;0;40;32;70.8571428571;0
39;b8c0bf3f44a59ec2acc8863ffc18;2010;1;20.0;20.0;1;1;5;1;30;90;1.0;0
41;f24440d7a7322964554f2110bf26;2010;27;12.4074074074;10.0;20;567;4;0;40;50;21.0;0
45;8d1bbabbd0325c1667354be624a2;2010;4;8.75;5.0;1;44;6;1;30;90;11.0;0
46;f3dbda58814b6db97f7ad548e469;2010;3;10.0;10.0;1;28;5;1;40;50;9.33333333333;0
48;810c939034715db9673cccbf9446;2010;5;11.998;14.99;3;560;4;0;30;90;112.0;0
49;e184b48374400bd28b2e769f7b59;2010;18;13.6111111111;25.0;2;182;5;1;40;40;10.1111111111;0
51;f5b8d13284b004f7b3ef4cb18c57;2010;2;12.5;5.0;2;3;1;0;40;32;1.5;0
52;f7847b7097bb830a58909e33412c;2010;19;11.0526315789;10.0;16;96;3;0;40;50;5.05263157895;0
